m,re_key,qu_1,m_1,unit_1,qu_2,m_2,unit_2,lookups_item_key,l_p,s,r,url,finalMap,
<_sre.SRE_Match object at 0x000000000F7C3318>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN,2 tsp vanilla,2 tsp vanilla,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F7C3410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS VBP,1.25 cups flour,1.25 cups flour,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F7C3318>,n_st,CD ,NN ,CD NN NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN NN,1 tsp baking powder,1 tsp baking powder,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F7C3410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tsp corn starch,1 tsp corn starch,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,VBN JJ NNS IN JJ JJ,sliced fresh strawberries for garnish optional,sliced fresh strawberries for garnish optional,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN JJ NNS,1 cup frozen strawberries,1 cup frozen strawberries,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,2 tbsp water,2 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN,2 tbsp sugar,2 tbsp sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,NN ,CD NN NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN NN,1 tbsp lemon juice,1 tbsp lemon juice,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN NN IN CD NNS NN,1 tbsp corn starch mixed with 3 tbsp water,1 tbsp corn starch mixed with 3 tbsp water,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN VBD NN NN NN,0.5 cup salted butter room temperature,0.5 cup salted butter room temperature,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS VBD NN,3 cups powdered sugar,3 cups powdered sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN,2 tsp vanilla,2 tsp vanilla,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,DT JJ NNS IN JJ NN NN,a few drops of red food colouring,a few drops of red food colouring,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,NN IN NN,pinch of salt,pinch of salt,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN VBD NN NN NN,0.5 cup salted butter room temperature,0.5 cup salted butter room temperature,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,0.5 cup white sugar,0.5 cup white sugar,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN,1 egg,1 egg,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN,2 tsp vanilla,2 tsp vanilla,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS VBP,1.25 cups flour,1.25 cups flour,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852318>,n_st,CD ,NN ,CD NN NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN NN NN,1 tsp baking powder,1 tsp baking powder,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tsp corn starch,1 tsp corn starch,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,VBN JJ NNS IN JJ JJ,sliced fresh strawberries for garnish optional,sliced fresh strawberries for garnish optional,http://www.livelymess.com/2017/08/stawberry-sugar-cookie-bars/,[{'class': ['ingredient']}],
,,None,None,None,None,None,None,,NN CC RB NN JJ NN,salt and freshly ground black pepper,salt and freshly ground black pepper,https://www.culinaryhill.com/chicken-and-mushroom-stroganoff/,"[{'class': ['wprm-recipe-ingredient']}, {}]",
,,None,None,None,None,None,None,,NN CC RB NN JJ NN,salt and freshly ground black pepper,salt and freshly ground black pepper,https://www.culinaryhill.com/chicken-and-mushroom-stroganoff/,"[{'class': ['wprm-recipe-ingredient']}, {}]",
,,None,None,None,None,None,None,,CD JJ CD MD VB NNS VBN CC VBN,15 oz. one can black-eyed peas drained and rinsed,15 oz. one can black-eyed peas drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD JJ NNS VBN CC VBN,15 oz. one can black beans drained and rinsed,15 oz. one can black beans drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD VB NN VBD,11 oz. one can sweet corn drained,11 oz. one can sweet corn drained,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,IN DT NN,for the crust,for the crust,https://www.thehungrybites.com/mint-and-cinnamon-creamy-cheesecake-with-matcha-ganache/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,IN DT NNS,for the meatballs,for the meatballs,https://www.thehungrybites.com/juicy-greek-fried-meatballs-keftedes/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD VB NNS VBN CC VBN,15 oz. one can black-eyed peas drained and rinsed,15 oz. one can black-eyed peas drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD JJ NNS VBN CC VBN,15 oz. one can black beans drained and rinsed,15 oz. one can black beans drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD VB NN VBD,11 oz. one can sweet corn drained,11 oz. one can sweet corn drained,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,IN DT NN,for the crust,for the crust,https://www.thehungrybites.com/mint-and-cinnamon-creamy-cheesecake-with-matcha-ganache/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD VB NNS VBN CC VBN,15 oz. one can black-eyed peas drained and rinsed,15 oz. one can black-eyed peas drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD JJ NNS VBN CC VBN,15 oz. one can black beans drained and rinsed,15 oz. one can black beans drained and rinsed,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,CD JJ CD MD VB NN VBD,11 oz. one can sweet corn drained,11 oz. one can sweet corn drained,https://all-thats-jas.com/healthy-texas-cowboy-caviar-recipe.html,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,IN DT NN,for the crust,for the crust,https://www.thehungrybites.com/mint-and-cinnamon-creamy-cheesecake-with-matcha-ganache/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,JJ NN IN VBN,olive oil as needed,olive oil as needed,https://jeanieandluluskitchen.com/recipe/chicken-scarpiello/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,JJ NN IN VBN,olive oil as needed,olive oil as needed,https://jeanieandluluskitchen.com/recipe/chicken-scarpiello/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B825B10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS NN VBN CC VBN NN IN NNS,2 pounds zucchini trimmed and cut crosswise into thirds,2 pounds zucchini trimmed and cut crosswise into thirds,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B825770>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN,0.75 cup chopped fennel,0.75 cup chopped fennel,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B57ADC0>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS VBD,2 garlic cloves chopped,2 garlic cloves chopped,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B57AEB8>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,2 tbsp olive oil,2 tbsp olive oil,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1B10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS NN VBN CC VBN NN IN NNS,2 pounds zucchini trimmed and cut crosswise into thirds,2 pounds zucchini trimmed and cut crosswise into thirds,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1770>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN,0.75 cup chopped fennel,0.75 cup chopped fennel,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B5D7DC0>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS VBD,2 garlic cloves chopped,2 garlic cloves chopped,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B5D7EB8>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,2 tbsp olive oil,2 tbsp olive oil,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1EB0>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN VBD,1 c. butter softened,1 c. butter softened,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1858>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN,0.5 c. granulated sugar,0.5 c. granulated sugar,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1EB0>,st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN JJ JJ NN VBD,1 c. light brown sugar packed,1 c. light brown sugar packed,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS,2 large eggs,2 large eggs,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F8B1CC8>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,2 tsp vanilla extract,2 tsp vanilla extract,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,2.5 c. all-purpose flour,2.5 c. all-purpose flour,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1EB0>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS NN,1 tsp cornstarch,1 tsp cornstarch,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B8A1858>,st,CD ,,CD NN NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN NN NN,1 tsp baking soda,1 tsp baking soda,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN NNS,1.75 c. semi-sweet chocolate chips,1.75 c. semi-sweet chocolate chips,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,NN NN CC NN NNS JJ,ice cream and chocolate syrup optional,ice cream and chocolate syrup optional,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B97CB10>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS NN VBN CC VBN NN IN NNS,2 pounds zucchini trimmed and cut crosswise into thirds,2 pounds zucchini trimmed and cut crosswise into thirds,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,CD ,,CD NN,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN VBD NN,0.75 cup chopped fennel,0.75 cup chopped fennel,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B97CB10>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NNS VBD,2 garlic cloves chopped,2 garlic cloves chopped,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ JJ NN,2 tbsp olive oil,2 tbsp olive oil,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,NN NN CC NN NNS JJ,ice cream and chocolate syrup optional,ice cream and chocolate syrup optional,https://www.julieseatsandtreats.com/chocolate-chip-skillet-cookie-recipe/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,NN NN NN,pinch kosher salt,pinch kosher salt,http://www.gnom-gnom.com/gluten-free-keto-hand-pies/,[{'class': ['wprm-recipe-ingredient']}],
,,None,None,None,None,None,None,,NN CC NN,salt and pepper,salt and pepper,https://www.culinaryhill.com/shrimp-scampi/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B4FBEB8>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS NN VBN CC VBN NN IN NNS,2 pounds zucchini trimmed and cut crosswise into thirds,2 pounds zucchini trimmed and cut crosswise into thirds,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F72D030>,n_st,CD ,NN ,CD NN ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN VBD NN,0.75 cup chopped fennel,0.75 cup chopped fennel,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000B4FBEB8>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS VBD,2 garlic cloves chopped,2 garlic cloves chopped,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F72D030>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,2 tbsp olive oil,2 tbsp olive oil,https://foodfidelity.com/2017/10/13/zucchini-soup/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F6FE508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,335 g soft butter,335 g soft butter,https://www.everynookandcranny.net/a-swirly-twirly-raspberry-ripple-cake/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F6FE6F8>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN JJ NN NN VBZ RB RB,400 g caster sugar golden caster sugar is lovely here,400 g caster sugar golden caster sugar is lovely here,https://www.everynookandcranny.net/a-swirly-twirly-raspberry-ripple-cake/,[{'class': ['wprm-recipe-ingredient']}],
<_sre.SRE_Match object at 0x000000000F6FE508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NNS VBD,6 large eggs separated,6 large eggs separated,https://www.everynookandcranny.net/a-swirly-twirly-raspberry-ripple-cake/,[{'class': ['wprm-recipe-ingredient']}],
